n_vars,t_classical,t_qaoa,E_classical_best,E_classical_mean,E_classical_std,E_qaoa_best,E_qaoa_mean,E_qaoa_std,gap_classical,gap_qaoa
4,0.22746682167053223,0.014139175415039062,5.0,5.0,0.0,9.252420271875017,9.256708371397224,0.0027632295103913514,0.0,4.2524202718750175
6,0.32627391815185547,0.0731968879699707,9.0,9.0,0.0,19.410273743177218,19.413702449494963,0.0028883477095967155,0.0,10.410273743177218
8,0.4999887943267822,0.36870312690734863,14.0,14.0,0.0,28.48720042667136,28.490839360645463,0.0023964477513162435,0.0,14.487200426671361
10,0.6756570339202881,1.865607738494873,20.0,20.0,0.0,38.90879534681697,38.91012836496751,0.0008618167503273069,0.0,18.908795346816973
12,0.9294278621673584,10.028362035751343,27.0,27.0,0.0,50.687387189896235,50.68824580898151,0.0006951331165162147,0.0,23.687387189896235
14,1.1930902004241943,49.39905619621277,35.0,35.2,0.4,63.842643948574484,63.843088856242936,0.0004913145414620249,N/A,N/A
16,1.6127421855926514,50.490514039993286,44.0,44.4,0.4898979485566356,77.68007136850142,77.82426791845344,0.288222479154863,N/A,N/A
18,1.9391608238220215,N/A,55.0,55.2,0.4,N/A,N/A,N/A,N/A,N/A
20,2.399702787399292,N/A,64.0,64.8,0.7483314773547882,N/A,N/A,N/A,N/A,N/A
22,2.7964420318603516,N/A,75.0,75.2,0.4,N/A,N/A,N/A,N/A,N/A
24,3.256511926651001,N/A,84.0,84.8,0.4,N/A,N/A,N/A,N/A,N/A
26,3.8488872051239014,N/A,94.0,94.6,0.4898979485566356,N/A,N/A,N/A,N/A,N/A
28,4.402851104736328,N/A,104.0,104.8,0.4,N/A,N/A,N/A,N/A,N/A
30,5.018188953399658,N/A,114.0,115.0,0.6324555320336759,N/A,N/A,N/A,N/A,N/A
32,5.703233003616333,N/A,124.0,124.8,0.7483314773547882,N/A,N/A,N/A,N/A,N/A
